industry,size,region,revenue,age,ownership,campaign,lead
Manufacturing,10,South,748899,10+,Close,6,Low
Healthcare,10,South,881058,4-10,Corporation,14,Low
Manufacturing,50,West,1079296,4-10,Independent,13,Low
Healthcare,10,East,991190,1-3,Independent,8,Low
Defense,50,North,859032,4-10,Independent,1,Low
Manufacturing,50,East,638767,1-3,Independent,1,Low
Healthcare,50,North,506608,10+,Close,14,Low
Legal,10,East,947138,10+,Independent,14,High
Healthcare,500,West,1035243,1-3,Close,7,Low
Government,100,South,726873,10+,Independent,12,Low
Government,1000+,South,881058,1-3,Independent,1,Low
Defense,1000+,East,660793,4-10,Independent,3,Low
Healthcare,10,East,1057270,1-3,Close,2,Low
Defense,100,South,594714,4-10,Independent,13,Low
Manufacturing,50,East,814979,4-10,Corporation,4,Low
Manufacturing,1000+,East,550661,4-10,Independent,12,Low
Government,10,West,770926,1-3,Close,6,Low
Government,1000+,South,726873,4-10,Independent,10,Low
Manufacturing,100,South,594714,10+,Close,2,Low
Healthcare,50,West,837005,10+,Corporation,4,Low
Government,10,South,947138,1-3,Corporation,6,Low
Government,10,South,638767,4-10,Independent,5,High
Education,10,South,528635,10+,Close,12,Low
Healthcare,10,East,550661,4-10,Independent,11,Low
Manufacturing,500,South,925111,4-10,Close,6,Low
Legal,1000+,South,462555,10+,Independent,6,Low
Government,100,West,991190,10+,Close,1,High
Manufacturing,50,East,792952,10+,Corporation,10,Low
Healthcare,10,North,594714,4-10,Independent,5,Low
Defense,500,South,440529,1-3,Corporation,4,Low
Legal,100,West,1035243,4-10,Corporation,14,Low
Government,500,East,881058,4-10,Independent,7,Low
Legal,1000+,West,528635,4-10,Corporation,4,High
Defense,50,West,770926,10+,Independent,4,Low
Government,10,South,947138,4-10,Independent,4,Low
Manufacturing,10,North,550661,1-3,Close,11,Low
Defense,50,North,726873,4-10,Corporation,7,Low
Education,100,West,947138,4-10,Independent,6,Low
Healthcare,100,South,903085,4-10,Corporation,9,Low
Defense,50,West,484582,10+,Close,11,Low
Defense,10,East,638767,10+,Close,9,Low
Manufacturing,1000+,South,572688,10+,Corporation,9,Low
Government,1000+,East,704846,4-10,Close,12,Low
Legal,500,East,440529,10+,Close,2,Low
Defense,10,East,947138,1-3,Independent,12,Low
Government,10,South,792952,1-3,Corporation,10,Low
Legal,100,East,770926,4-10,Corporation,9,High
Government,100,South,859032,10+,Corporation,1,Low
Manufacturing,1000+,South,726873,1-3,Independent,12,Low
Manufacturing,10,North,1035243,10+,Close,14,Low
Legal,1000+,North,484582,10+,Independent,9,Low
Education,1000+,South,1057270,4-10,Close,11,Low
Government,10,North,528635,1-3,Close,1,Low
Defense,50,East,726873,1-3,Independent,3,High
Manufacturing,50,East,1035243,4-10,Corporation,5,High
Legal,500,East,792952,1-3,Corporation,1,Low
Government,500,North,572688,10+,Close,12,Low
Legal,100,East,837005,4-10,Close,5,Low
Healthcare,500,East,616741,10+,Corporation,4,High
Legal,100,West,969164,4-10,Close,14,Low
